"Package","Details","Action","Suite"
"com.samsung.android.scpm","Security and privacy > More Security settings > Enhanced Data Protection","0",
"com.samsung.android.app.routines","Settings > Modes and Routines","0",
"com.samsung.android.smartface","Settings > Display > Screen Timeout > Keep Screen on While Viewing","0",
"com.samsung.android.kmxservice","Security and privacy > More Security settings > Enhanced Data Protection","0",
"com.osp.app.signin","Samsung Account","0","Samsung Login, Cloud"
"com.sec.android.iaft","Developer Settings > IAFT","0","Unknown & Unecessary"
"com.sec.location.nsflp2","Modes and Routines location based tigger","0",
"com.samsung.android.location","Modes and Routines location based tigger","0",
"com.samsung.android.mdx.kit","Quick Share Framework","0",
"com.samsung.android.fmm","Find my Mobile","0","Samsung apps and services"
"com.samsung.android.spayfw","Samsung Pay Framework","0","Samsung apps and services"
"com.samsung.android.scloud","Samsung Cloud","0","Samsung Login, Cloud"
"com.samsung.android.authfw","Samsung Pass Framework","0","Samsung Login, Cloud"
"com.samsung.android.app.sharelive","Settings > Connected Device > Quick Share","0",
"com.samsung.android.aware.service","Quick Share Agent","0",
"com.samsung.klmsagent","KLM/KPE (Knox Licence Manager) Agent","0","Knox & Enterprise"
"com.samsung.knox.securefolder","Create Separate Space for Private Apps and Files","0","Knox & Enterprise"
"com.sec.android.app.samsungapps","Galaxy Store","0","Samsung apps and services"
"com.samsung.android.app.updatecenter","Installs Updates : No Affect Upon Uninstalling","1","Trash Installer"
"com.samsung.android.app.omcagent","Installs More Bloats","1","Trash Installer"
"com.aura.oobe.samsung","AppCloud : Installs Trash","1","Trash Installer"
"com.samsung.android.beaconmanager","Samsung Neary Scanning","1","Samsung SmartThinigs"
"com.samsung.android.service.stplatform","SmartThings Framework","1","Samsung SmartThinigs"
"com.samsung.android.easysetup","Samsung Nearby device scanning","1","Samsung SmartThinigs"
"android.autoinstalls.config.samsung","Installs More Bloats","1","Trash Installer"
"com.sec.android.easyMover.Agent","Samsung Smart Switch Agent","1","Samsung Smart Switch"
"com.sec.android.easyMover","Samsung Smart Switch Mobile","1","Samsung Smart Switch"
"com.samsung.android.messaging","Samsung Message","1","Samsung Bloat"
"com.samsung.android.keycustomizationinfobackupservice","SmartSwitch Samsung Cloud","1","Samsung Smart Switch"
"com.samsung.android.shortcutbackupservice","SmartSwitch Samsung Cloud","1","Samsung Smart Switch"
"com.samsung.android.smartswitchassistant","Samsung Smart Switch Assistant","1","Samsung Smart Switch"
"com.samsung.android.oneconnect","SmartThings","1","Samsung apps and services"
"com.samsung.android.dqagent","Device Quality Agent","1","Foctory Test/Diagnostic/Dump"
"com.samsung.android.mapsagent","Application recommendations","1","Trash Installer"
"com.samsung.android.samsungpass","Samsung Pass","1","Samsung Login, Cloud"
"com.samsung.android.themecenter","Galaxy Theme Service","1",
"com.samsung.discover.sep","Required by com.samsung.discover","1","Trash Installer"
"com.samsung.discover","Shows app recommendations on Launcher","1","Trash Installer"
"com.samsung.android.samsungpassautofill","Samsung Pass Autofill","1","Samsung Login, Cloud"
"com.sec.android.app.billing","Samsung Checkout","1","Samsung apps and services"
"com.samsung.android.app.watchmanager","Galaxy Wearable","1","Samsung Bloat"
"com.samsung.android.spay","Samsung Wallet","1","Samsung Bloat"
"com.samsung.android.app.find","Samsung Find","1","Samsung apps and services"
"com.samsung.android.voc","Samsung Members","1","Samsung apps and services"
"com.samsung.android.ipsgeofence","Samsung Visit In","1","Samsung apps and services"
"com.sec.android.widgetapp.webmanual","User Manual","1","Samsung Widgets"
