Package,Details,Action,Suite
com.samsung.android.app.sharelive,Settings > Connected Device > Quick Share,0,
com.samsung.android.aware.service,Quick Share Agent,0,
com.samsung.android.mdx.kit,Quick Share Framework,0,
com.samsung.android.smartface,Settings > Display > Screen Timeout > Keep Screen on While Viewing,0,
com.samsung.android.kmxservice,Security and privacy > More Security settings > Enhanced Data Protection,0,
com.samsung.android.scpm,Security and privacy > More Security settings > Enhanced Data Protection,0,
com.samsung.android.app.routines,Settings > Modes and Routines,0,
com.sec.location.nsflp2,Modes and Routines location based tigger,0,
com.samsung.android.location,Modes and Routines location based tigger,0,
com.samsung.android.mdecservice,Settings > Connected Device > Call & text on other devices,1,
com.samsung.android.mcfserver,Samsung Multi Connectivity,1,
com.samsung.android.mcfds,Settings > Connected Device > Continue apps on other devices,1,
com.samsung.android.inputshare,Settings > Connected Device > Multi Control,1,
com.samsung.android.smartmirroring,Settings > Connected Device > Smart View,1,
com.samsung.android.allshare.service.mediashare,Smart View Service,1,
com.samsung.android.smartface.overlay,"Smartface Overlay, Unecessary",1,
com.samsung.android.dynamiclock,Settings > Wallaper and Style > Change Wallpaper > Wallpaper Services,1,
com.samsung.android.themecenter,Galaxy Theme Service,1,
com.samsung.android.themestore,Settings > Themes,1,
com.samsung.android.rubin.app,Digital wellbeing and parental controls > Driving & Walking Monitor,1,
com.samsung.android.sm.devicesecurity,Battery and Device care -> App Protection,1,
com.samsung.android.uds,Battery and Device care -> Ultra Data Saving,1,
com.sec.mhs.smarttethering,Connections > Mobile Hotspot and Tethring > Mobile Hotspot > Auto Hotspot,2,
com.samsung.android.rampart,Samsung Auto Blocker,2,
